行命名,LevelNum,X,Y,ActorType
212,2,11,10,Empty
213,2,12,10,Empty
214,2,13,10,Empty
215,2,14,10,Empty
216,2,15,10,Empty
217,2,16,10,Empty
218,2,17,10,Empty
219,2,18,10,Empty
220,2,19,10,Empty
221,2,0,11,Empty
222,2,1,11,Empty
223,2,2,11,Empty
224,2,3,11,Empty
225,2,4,11,Empty
226,2,5,11,Empty
227,2,6,11,Empty
228,2,7,11,Empty
229,2,8,11,Empty
230,2,9,11,Empty
231,2,10,11,Empty
232,2,11,11,Empty
233,2,12,11,Empty
234,2,13,11,Empty
235,2,14,11,Empty
236,2,15,11,Empty
237,2,16,11,Empty
238,2,17,11,Empty
239,2,18,11,Empty
240,2,19,11,Empty
241,2,0,12,Empty
242,2,1,12,Empty
243,2,2,12,Empty
244,2,3,12,Empty
245,2,4,12,Empty
246,2,5,12,Empty
247,2,6,12,Empty
248,2,7,12,Empty
249,2,8,12,Empty
250,2,9,12,Empty
251,2,10,12,Empty
252,2,11,12,Empty
253,2,12,12,Empty
254,2,13,12,Empty
255,2,14,12,Empty
256,2,15,12,Empty
257,2,16,12,Empty
258,2,17,12,Empty
259,2,18,12,Empty
260,2,19,12,Empty
261,2,0,13,Empty
262,2,1,13,Empty
263,2,2,13,Empty
264,2,3,13,Empty
265,2,4,13,Empty
266,2,5,13,Empty
267,2,6,13,Empty
268,2,7,13,Empty
269,2,8,13,Empty
270,2,9,13,Empty
271,2,10,13,Empty
272,2,11,13,Empty
273,2,12,13,Empty
274,2,13,13,Empty
275,2,14,13,Empty
276,2,15,13,Empty
277,2,16,13,Empty
278,2,17,13,Empty
279,2,18,13,Empty
280,2,19,13,Empty
281,2,0,14,Empty
282,2,1,14,Empty
283,2,2,14,Empty
284,2,3,14,Empty
285,2,4,14,Empty
286,2,5,14,Empty
287,2,6,14,Empty
288,2,7,14,Empty
289,2,8,14,Empty
290,2,9,14,Empty
291,2,10,14,Empty
292,2,11,14,Empty
293,2,12,14,Empty
294,2,13,14,Empty
295,2,14,14,Empty
296,2,15,14,Empty
297,2,16,14,Empty
298,2,17,14,Empty
299,2,18,14,Empty
300,2,19,14,Empty
