行命名,LevelNum,X,Y,ActorType
96,3,15,4,Empty
97,3,16,4,Empty
98,3,17,4,Empty
99,3,18,4,Empty
100,3,19,4,Empty
101,3,0,5,Empty
102,3,1,5,Empty
103,3,2,5,Wall
104,3,3,5,Wall
105,3,4,5,Wall
106,3,5,5,Wall
107,3,6,5,Wall
108,3,7,5,Empty
109,3,8,5,Empty
110,3,9,5,Empty
111,3,10,5,Empty
112,3,11,5,Empty
113,3,12,5,Empty
114,3,13,5,Empty
115,3,14,5,Empty
116,3,15,5,Empty
117,3,16,5,Empty
118,3,17,5,Empty
119,3,18,5,Empty
120,3,19,5,Empty
121,3,0,6,Empty
122,3,1,6,Empty
123,3,2,6,Empty
124,3,3,6,Empty
125,3,4,6,Empty
126,3,5,6,Empty
127,3,6,6,Empty
128,3,7,6,Empty
129,3,8,6,Empty
130,3,9,6,Empty
131,3,10,6,Empty
132,3,11,6,Empty
133,3,12,6,Empty
134,3,13,6,Empty
135,3,14,6,Empty
136,3,15,6,Empty
137,3,16,6,Empty
138,3,17,6,Empty
139,3,18,6,Empty
140,3,19,6,Empty
141,3,0,7,Empty
142,3,1,7,Empty
143,3,2,7,Empty
144,3,3,7,Empty
145,3,4,7,Empty
146,3,5,7,Empty
147,3,6,7,Empty
148,3,7,7,Empty
149,3,8,7,Empty
150,3,9,7,Empty
151,3,10,7,Empty
152,3,11,7,Empty
153,3,12,7,Empty
154,3,13,7,Empty
155,3,14,7,Empty
156,3,15,7,Empty
157,3,16,7,Empty
158,3,17,7,Empty
159,3,18,7,Empty
160,3,19,7,Empty
161,3,0,8,Empty
162,3,1,8,Empty
163,3,2,8,Empty
164,3,3,8,Empty
165,3,4,8,Empty
166,3,5,8,Empty
167,3,6,8,Empty
168,3,7,8,Empty
169,3,8,8,Empty
170,3,9,8,Empty
171,3,10,8,Empty
172,3,11,8,Empty
173,3,12,8,Empty
174,3,13,8,Empty
175,3,14,8,Empty
176,3,15,8,Empty
177,3,16,8,Empty
178,3,17,8,Empty
179,3,18,8,Empty
180,3,19,8,Empty
181,3,0,9,Empty
182,3,1,9,Empty
183,3,2,9,Empty
184,3,3,9,Empty
185,3,4,9,Empty
186,3,5,9,Empty
187,3,6,9,Empty
188,3,7,9,Empty
189,3,8,9,Empty
190,3,9,9,Empty
191,3,10,9,Empty
192,3,11,9,Empty
193,3,12,9,Empty
194,3,13,9,Empty
195,3,14,9,Empty
196,3,15,9,Empty
197,3,16,9,Empty
198,3,17,9,Empty
199,3,18,9,Empty
200,3,19,9,Empty
201,3,0,10,Empty
202,3,1,10,Empty
203,3,2,10,Empty
204,3,3,10,Empty
205,3,4,10,Empty
206,3,5,10,Empty
207,3,6,10,Empty
208,3,7,10,Empty
209,3,8,10,Empty
210,3,9,10,Empty
211,3,10,10,Empty
212,3,11,10,Empty
213,3,12,10,Empty
214,3,13,10,Empty
215,3,14,10,Empty
216,3,15,10,Empty
217,3,16,10,Empty
218,3,17,10,Empty
219,3,18,10,Empty
220,3,19,10,Empty
221,3,0,11,Empty
222,3,1,11,Empty
223,3,2,11,Empty
224,3,3,11,Empty
225,3,4,11,Empty
226,3,5,11,Empty
227,3,6,11,Empty
228,3,7,11,Empty
229,3,8,11,Empty
230,3,9,11,Empty
231,3,10,11,Empty
232,3,11,11,Empty
233,3,12,11,Empty
234,3,13,11,Empty
235,3,14,11,Empty
236,3,15,11,Empty
237,3,16,11,Empty
238,3,17,11,Empty
239,3,18,11,Empty
240,3,19,11,Empty
241,3,0,12,Empty
242,3,1,12,Empty
243,3,2,12,Empty
244,3,3,12,Empty
245,3,4,12,Empty
246,3,5,12,Empty
247,3,6,12,Empty
248,3,7,12,Empty
249,3,8,12,Empty
250,3,9,12,Empty
251,3,10,12,Empty
252,3,11,12,Empty
253,3,12,12,Empty
254,3,13,12,Empty
255,3,14,12,Empty
256,3,15,12,Empty
257,3,16,12,Empty
258,3,17,12,Empty
259,3,18,12,Empty
260,3,19,12,Empty
261,3,0,13,Empty
262,3,1,13,Empty
263,3,2,13,Empty
264,3,3,13,Empty
265,3,4,13,Empty
266,3,5,13,Empty
267,3,6,13,Empty
268,3,7,13,Empty
269,3,8,13,Empty
270,3,9,13,Empty
271,3,10,13,Empty
272,3,11,13,Empty
273,3,12,13,Empty
274,3,13,13,Empty
275,3,14,13,Empty
276,3,15,13,Empty
277,3,16,13,Empty
278,3,17,13,Empty
279,3,18,13,Empty
280,3,19,13,Empty
281,3,0,14,Empty
282,3,1,14,Empty
283,3,2,14,Empty
284,3,3,14,Empty
285,3,4,14,Empty
286,3,5,14,Empty
287,3,6,14,Empty
288,3,7,14,Empty
289,3,8,14,Empty
290,3,9,14,Empty
291,3,10,14,Empty
292,3,11,14,Empty
293,3,12,14,Empty
294,3,13,14,Empty
295,3,14,14,Empty
296,3,15,14,Empty
297,3,16,14,Empty
298,3,17,14,Empty
299,3,18,14,Empty
300,3,19,14,Empty
