行命名,LevelNum,X,Y,ActorType
200,1,19,9,Empty
201,1,0,10,Empty
202,1,1,10,Empty
203,1,2,10,Empty
204,1,3,10,Empty
205,1,4,10,Empty
206,1,5,10,Empty
207,1,6,10,Empty
208,1,7,10,Empty
209,1,8,10,Empty
210,1,9,10,Empty
211,1,10,10,Empty
212,1,11,10,Empty
213,1,12,10,Empty
214,1,13,10,Empty
215,1,14,10,Empty
216,1,15,10,Empty
217,1,16,10,Empty
218,1,17,10,Empty
219,1,18,10,Empty
220,1,19,10,Empty
221,1,0,11,Empty
222,1,1,11,Empty
223,1,2,11,Empty
224,1,3,11,Empty
225,1,4,11,Empty
226,1,5,11,Empty
227,1,6,11,Empty
228,1,7,11,Empty
229,1,8,11,Empty
230,1,9,11,Empty
231,1,10,11,Empty
232,1,11,11,Empty
233,1,12,11,Empty
234,1,13,11,Empty
235,1,14,11,Empty
236,1,15,11,Empty
237,1,16,11,Empty
238,1,17,11,Empty
239,1,18,11,Empty
240,1,19,11,Empty
241,1,0,12,Empty
242,1,1,12,Empty
243,1,2,12,Empty
244,1,3,12,Empty
245,1,4,12,Empty
246,1,5,12,Empty
247,1,6,12,Empty
248,1,7,12,Empty
249,1,8,12,Empty
250,1,9,12,Empty
251,1,10,12,Empty
252,1,11,12,Empty
253,1,12,12,Empty
254,1,13,12,Empty
255,1,14,12,Empty
256,1,15,12,Empty
257,1,16,12,Empty
258,1,17,12,Empty
259,1,18,12,Empty
260,1,19,12,Empty
261,1,0,13,Empty
262,1,1,13,Empty
263,1,2,13,Empty
264,1,3,13,Empty
265,1,4,13,Empty
266,1,5,13,Empty
267,1,6,13,Empty
268,1,7,13,Empty
269,1,8,13,Empty
270,1,9,13,Empty
271,1,10,13,Empty
272,1,11,13,Empty
273,1,12,13,Empty
274,1,13,13,Empty
275,1,14,13,Empty
276,1,15,13,Empty
277,1,16,13,Empty
278,1,17,13,Empty
279,1,18,13,Empty
280,1,19,13,Empty
281,1,0,14,Empty
282,1,1,14,Empty
283,1,2,14,Empty
284,1,3,14,Empty
285,1,4,14,Empty
286,1,5,14,Empty
287,1,6,14,Empty
288,1,7,14,Empty
289,1,8,14,Empty
290,1,9,14,Empty
291,1,10,14,Empty
292,1,11,14,Empty
293,1,12,14,Empty
294,1,13,14,Empty
295,1,14,14,Empty
296,1,15,14,Empty
297,1,16,14,Empty
298,1,17,14,Empty
299,1,18,14,Empty
300,1,19,14,Empty
